raw_text,normalized_message,intent,sentiment,confidence,clarification
mera  account  block  ho  gaya  😭,My money was stolen,report_fraud,worried,0.96,Please share more details
no  clue  $wht$  hppnd  😕,Unknown deduction from my account,report_fraud,upset,0.82,Can you provide transaction ID?
🙄 y u guys slow,Fraud alert on my account,report_fraud,upset,0.74,Please share more details
🤔 uh wot&'s IFSC??,I want to report a fraud,report_fraud,worried,0.89,Can you provide transaction ID?
hpy  wid  srvcs  😊,Unknown deduction from my account,report_fraud,upset,0.89,
😭  acct  blck@d@?,I think this is fraud,report_fraud,worried,0.74,
hpy  wid  srvcs  😊,Fraud alert on my account,report_fraud,angry,0.87,Can you provide transaction ID?
itna slow kyu ho,My money was stolen,report_fraud,angry,0.85,Can you provide transaction ID?
phir error aa raha hai,Fraud alert on my account,report_fraud,upset,0.89,Please share more details
😭  acct  blckd?$,My money was stolen,report_fraud,worried,0.92,Please share more details
msg err agn,Money missing from account,report_fraud,upset,0.77,
😭 ac%ct blckd?,Unknown deduction from my account,report_fraud,angry,0.75,Please share more details
mera account block ho gaya 😭,Money missing from account,report_fraud,angry,0.93,Please share more details
🤔  uh  wot'@s$  IFSC??,Money missing from account,report_fraud,angry,0.97,Can you provide transaction ID?
hpy wid srvcs 😊,Someone scammed me,report_fraud,worried,0.98,Please share more details
samajh  na#hi  aaya,There was an unauthorized transaction,report_fraud,upset,0.88,Can you provide transaction ID?
mera account block ho gaya 😭,Fraud alert on my account,report_fraud,worried,0.7,Can you provide transaction ID?
itna sl&ow kyu ho,Suspicious activity detected,report_fraud,upset,0.82,Can you provide transaction ID?
🙄 y u guys slow,There was an unauthorized transaction,report_fraud,angry,0.8,Can you provide transaction ID?
mera  account  block  ho  gaya  😭,Fraud alert on my account,report_fraud,upset,0.74,Please share more details
😭 acct blckd?,There was an unauthorized transaction,report_fraud,angry,0.76,
😡 y tf my txn fail,Help me report a scam,report_fraud,angry,0.92,
IF#SC  k@ya  hota  ha#i?,Fraud alert on my account,report_fraud,angry,0.7,
🙄 y u guys slow,I want to report a fraud,report_fraud,worried,0.81,Can you provide transaction ID?
service  achi  lagi  😊,Unknown deduction from my account,report_fraud,worried,0.83,Please share more details
😡 y tf my txn fail,Unknown deduction from my account,report_fraud,angry,0.98,Can you provide transaction ID?
🙄  y  u  gu$y$s  slo@w,There was an unauthorized transaction,report_fraud,upset,0.93,
phir error aa raha $hai&,Money missing from account,report_fraud,upset,0.79,Can you provide transaction ID?
no* clue wht hppnd 😕,I want to report a fraud,report_fraud,worried,0.83,Can you provide transaction ID?
bal pls,There was an unauthorized transaction,report_fraud,upset,0.77,Please share more details
mera  account  block  ho  gaya  😭,Someone scammed me,report_fraud,angry,0.76,
kisi  se  ba$at  $karni  hai,Money missing from account,report_fraud,worried,0.81,Please share more details
wnt  2  tlk  2  sm1,Unknown deduction from my account,report_fraud,worried,0.86,Can you provide transaction ID?
hpy  w@i@d  s$rvcs  😊,Fraud alert on my account,report_fraud,worried,0.96,Can you provide transaction ID?
🤔  uh  wot's  IFSC?@?,Suspicious activity detected,report_fraud,worried,0.76,
mera  account  block  ho  gaya  😭,Fraud alert on my account,report_fraud,worried,0.81,
mere paise kahan gaye 😡,Unknown deduction from my account,report_fraud,worried,0.92,Can you provide transaction ID?
bal  pls,I want to report a fraud,report_fraud,worried,0.84,Please share more details
😡  y  tf  my  txn  fail,I want to report a fraud,report_fraud,angry,0.8,
mera  account  block  ho  gaya  😭,Money missing from account,report_fraud,upset,0.74,
IFSC kya hota hai?,There was an unauthorized transaction,report_fraud,upset,0.85,
phir  error  aa  raha  hai,Someone scammed me,report_fraud,upset,0.94,Please share more details
w#nt  2  tlk  @2  s@m1$,Money missing from account,report_fraud,worried,0.81,
mere  paise  kahan  gaye  😡,My money was stolen,report_fraud,upset,0.75,Can you provide transaction ID?
🙄  y  u  guys  slow,Unknown deduction from my account,report_fraud,upset,0.8,Please share more details
bal pls,Unknown deduction from my account,report_fraud,upset,0.93,Please share more details
IFSC kya hota hai?,Money missing from account,report_fraud,upset,0.71,Please share more details
no clue wht hp&pnd 😕,Money missing from account,report_fraud,upset,0.92,
upd&8# phn no.,Someone scammed me,report_fraud,angry,0.88,Please share more details
🤔 uh wot's% IFSC??,There was an unauthorized transaction,report_fraud,upset,0.7,Please share more details
phir %e^r$ror a$a raha hai,I want to report a fraud,report_fraud,upset,0.77,
itna s$low ky#u ho,Suspicious activity detected,report_fraud,angry,0.7,
kisi  se  baat  karni  hai,My money was stolen,report_fraud,angry,0.71,Can you provide transaction ID?
🤔  uh  wot's  IFSC??,Help me report a scam,report_fraud,upset,0.92,Can you provide transaction ID?
m$ere paise kahan# g$aye 😡,My money was stolen,report_fraud,angry,0.97,
se@rvice  achi  lagi  😊,I want to report a fraud,report_fraud,worried,0.95,Can you provide transaction ID?
itna ^sl#ow kyu ho,Someone scammed me,report_fraud,worried,0.95,
😡 y tf my txn fail,There was an unauthorized transaction,report_fraud,upset,0.89,
IFSC kya hota hai?,Unknown deduction from my account,report_fraud,angry,0.81,
kisi se baat karni hai,My money was stolen,report_fraud,upset,0.84,Please share more details
kisi% se baat karni $hai,I want to report a fraud,report_fraud,angry,0.72,Please share more details
🤔 uh wot's IFSC??,There was an unauthorized transaction,report_fraud,worried,0.98,Can you provide transaction ID?
up$d8 phn@ no.,Suspicious activity detected,report_fraud,worried,0.98,Please share more details
🤔 uh wot's IFSC??,Fraud alert on my account,report_fraud,worried,0.91,
wnt  2  t#lk  2  sm1,I want to report a fraud,report_fraud,worried,0.74,Please share more details
itna slow kyu ho,Money missing from account,report_fraud,angry,0.93,Please share more details
ser$v$ic$e  achi  lagi  😊,Unknown deduction from my account,report_fraud,angry,0.91,Please share more details
serv%ice achi la@gi 😊,Help me report a scam,report_fraud,upset,0.89,Please share more details
p$hir  er#ror#  aa  raha  hai,I want to report a fraud,report_fraud,upset,0.9,Please share more details
mere  paise  kahan  gaye  😡,Someone scammed me,report_fraud,upset,0.87,Please share more details
bal pls,Someone scammed me,report_fraud,worried,0.72,Can you provide transaction ID?
service achi @lagi 😊,I want to report a fraud,report_fraud,worried,0.94,Please share more details
kisi  @se  baat  karni  hai,Fraud alert on my account,report_fraud,worried,0.87,Please share more details
itna  slow  kyu  ho,Money missing from account,report_fraud,worried,0.79,Can you provide transaction ID?
upd8  $phn  no.,Unknown deduction from my account,report_fraud,upset,0.71,Please share more details
b$hai #balan#ce dikh$a,There was an unauthorized transaction,report_fraud,worried,0.97,Please share more details
wnt  2  tlk  2  sm1,Someone scammed me,report_fraud,upset,0.97,Please share more details
itna slow kyu ho,There was an unauthorized transaction,report_fraud,angry,0.87,Can you provide transaction ID?
phir ^error aa raha hai,There was an unauthorized transaction,report_fraud,worried,0.83,
😡$  y  tf  my  txn  fail,I want to report a fraud,report_fraud,upset,0.96,Can you provide transaction ID?
upd#8 phn no.,There was an unauthorized transaction,report_fraud,upset,0.87,Can you provide transaction ID?
msg err agn,My money was stolen,report_fraud,upset,0.79,Please share more details
🤔 uh wot's IFSC??,My money was stolen,report_fraud,worried,0.81,Can you provide transaction ID?
service achi lagi 😊,I want to report a fraud,report_fraud,worried,0.94,
msg err agn,Fraud alert on my account,report_fraud,angry,0.75,Please share more details
IFSC  kya  hota  hai?,Someone scammed me,report_fraud,upset,0.97,Please share more details
samajh  nahi  aaya,Help me report a scam,report_fraud,upset,0.75,Can you provide transaction ID?
bal pls,My money was stolen,report_fraud,worried,0.89,Please share more details
hpy wid srvcs 😊,My money was stolen,report_fraud,worried,0.94,Please share more details
hpy wid srvcs 😊,Help me report a scam,report_fraud,upset,0.91,
phir  error  aa  raha  hai,I want to report a fraud,report_fraud,angry,0.77,Can you provide transaction ID?
😡 y %tf my txn fai$l,Fraud alert on my account,report_fraud,worried,0.83,
bhai  balance  dikha,Unknown deduction from my account,report_fraud,worried,0.75,
itna slow kyu ho,I think this is fraud,report_fraud,upset,0.97,Can you provide transaction ID?
phir error aa raha hai,There was an unauthorized transaction,report_fraud,angry,0.92,
phir er@ror aa^ raha hai,I want to report a fraud,report_fraud,worried,0.89,Please share more details
phir error aa raha hai,Money missing from account,report_fraud,upset,0.96,Please share more details
mera account block ho gaya 😭,Help me report a scam,report_fraud,worried,0.77,Can you provide transaction ID?
🙄 y u guys slow,Money missing from account,report_fraud,angry,0.94,Please share more details
IFSC  kya  h#ota  $hai?,Someone scammed me,report_fraud,angry,0.98,Please share more details
😡  y@  tf  my  txn  fail,My money was stolen,report_fraud,upset,0.84,Can you provide transaction ID?
IFSC  kya  hota  hai?,Suspicious activity detected,report_fraud,upset,0.77,Please share more details
samajh nah*i aaya,Money missing from account,report_fraud,worried,0.9,
🙄  y  u  guys  slow,There was an unauthorized transaction,report_fraud,upset,0.77,
mera account block ho gaya 😭,There was an unauthorized transaction,report_fraud,worried,0.84,
up#d8  phn  no.,I think this is fraud,report_fraud,upset,0.81,Please share more details
up#d#8 phn no.,Unknown deduction from my account,report_fraud,angry,0.93,Please share more details
samajh  nahi@  $aaya,Suspicious activity detected,report_fraud,angry,0.95,
phone  number  badalna  hai,I want to report a fraud,report_fraud,worried,0.83,Can you provide transaction ID?
😭  acct  blckd?,There was an unauthorized transaction,report_fraud,angry,0.89,Please share more details
😡  y  tf  my  txn  fail,My money was stolen,report_fraud,angry,0.7,
😭  acct  blckd?,My money was stolen,report_fraud,worried,0.72,
itna  slow  kyu  ho,Unknown deduction from my account,report_fraud,worried,0.8,Can you provide transaction ID?
hpy  wid  srvcs  😊,Fraud alert on my account,report_fraud,upset,0.97,
mera  account  block  ho  gaya  😭,Suspicious activity detected,report_fraud,worried,0.87,
i@tna  slow  kyu  ho,Someone scammed me,report_fraud,angry,0.7,Can you provide transaction ID?
upd8@  phn  #no.,Money missing from account,report_fraud,worried,0.88,Can you provide transaction ID?
kisi  se  baat  karni  hai,There was an unauthorized transaction,report_fraud,angry,0.84,
kisi  se  baat  karn$i  ha#i,Someone scammed me,report_fraud,angry,0.81,Please share more details
wnt 2 tl@k 2 sm1,I think this is fraud,report_fraud,angry,0.86,Please share more details
upd@8@  phn  no.,I want to report a fraud,report_fraud,angry,0.86,Can you provide transaction ID?
bha%i% ba*lance dikha,I want to report a fraud,report_fraud,angry,0.99,Please share more details
phir  error  aa  #raha  hai,Help me report a scam,report_fraud,worried,0.87,Can you provide transaction ID?
kisi  se  baat  karni  hai,Money missing from account,report_fraud,worried,0.99,Can you provide transaction ID?
🤔 uh w^o$t's IFSC??,Fraud alert on my account,report_fraud,worried,0.93,
🤔 uh wot's IFSC??,Fraud alert on my account,report_fraud,upset,0.77,Please share more details
phir error aa raha hai,I want to report a fraud,report_fraud,worried,0.83,
🤔 uh wot's IFSC??,Help me report a scam,report_fraud,upset,0.83,
serv*ice ach%i lagi& 😊,Fraud alert on my account,report_fraud,upset,0.85,Can you provide transaction ID?
upd8  phn  no.,Someone scammed me,report_fraud,worried,0.77,
IFSC  kya  hota  hai?,Suspicious activity detected,report_fraud,worried,0.81,Can you provide transaction ID?
phone  number  badalna  hai,Suspicious activity detected,report_fraud,upset,0.72,
samajh nahi aaya,My money was stolen,report_fraud,angry,0.99,Can you provide transaction ID?
wnt#  2  #tlk  2  sm1,There was an unauthorized transaction,report_fraud,upset,0.81,
mera acc*ount block $ho *gaya@ @😭,There was an unauthorized transaction,report_fraud,worried,0.83,Can you provide transaction ID?
kisi  se  baat  karni  hai,Suspicious activity detected,report_fraud,upset,0.88,Can you provide transaction ID?
ph&one numbe#r bada*lna^ #hai$,There was an unauthorized transaction,report_fraud,upset,0.86,
phir  error  aa  raha  hai,Fraud alert on my account,report_fraud,upset,0.74,Can you provide transaction ID?
IFSC  kya  hota  hai?,Suspicious activity detected,report_fraud,angry,0.72,
bal  pls,There was an unauthorized transaction,report_fraud,angry,0.82,Can you provide transaction ID?
🙄 y u g*uys @slow,Money missing from account,report_fraud,upset,0.94,Please share more details
mera  account  block  ho  gaya  😭,Help me report a scam,report_fraud,angry,0.84,Can you provide transaction ID?
ph@one number bad#alna# hai,Help me report a scam,report_fraud,upset,0.89,Can you provide transaction ID?
hpy  wid  s@rvcs  😊,There was an unauthorized transaction,report_fraud,upset,0.99,Can you provide transaction ID?
bal  pls,There was an unauthorized transaction,report_fraud,upset,0.95,Can you provide transaction ID?
service  achi  lagi  😊,My money was stolen,report_fraud,upset,0.75,
IFSC  kya  hota  hai?,Someone scammed me,report_fraud,worried,0.96,Please share more details
bhai balance dikha,I want to report a fraud,report_fraud,worried,0.87,Can you provide transaction ID?
itn@a  slow  $kyu  ho,Unknown deduction from my account,report_fraud,upset,0.84,Can you provide transaction ID?
mera account block& ho gaya 😭,Money missing from account,report_fraud,worried,0.78,Please share more details
bal pls,Help me report a scam,report_fraud,angry,0.99,Please share more details
me#ra a^cco*u@nt block ho g#aya 😭,I think this is fraud,report_fraud,angry,0.83,Can you provide transaction ID?
itna@  sl@ow  kyu  ho,I want to report a fraud,report_fraud,angry,0.96,Please share more details
IFSC  k@ya  h$ota  hai?,Suspicious activity detected,report_fraud,upset,0.9,
mere paise kahan gaye 😡,Suspicious activity detected,report_fraud,worried,0.89,Please share more details
phir  e$rror  #aa$  r#aha  hai,I want to report a fraud,report_fraud,angry,0.78,Please share more details
samajh  nahi  aaya,I think this is fraud,report_fraud,angry,0.73,
upd8 phn no.,Unknown deduction from my account,report_fraud,angry,0.73,
u@pd8  phn  no.,Fraud alert on my account,report_fraud,angry,0.99,Can you provide transaction ID?
hpy wid srvcs 😊,There was an unauthorized transaction,report_fraud,upset,0.94,
samajh nahi aaya,Suspicious activity detected,report_fraud,worried,0.97,Please share more details
mera  account  block  ho  gaya  😭,Fraud alert on my account,report_fraud,angry,0.75,
msg  err@  agn,Money missing from account,report_fraud,angry,0.83,
wnt 2 tlk 2 sm1,Suspicious activity detected,report_fraud,angry,0.73,Please share more details
phone number badalna hai,I think this is fraud,report_fraud,angry,0.74,
😡 y tf my txn fail,I think this is fraud,report_fraud,angry,0.74,Can you provide transaction ID?
bal  pls,I want to report a fraud,report_fraud,angry,0.92,Please share more details
msg err #agn,Unknown deduction from my account,report_fraud,worried,0.96,Please share more details
phone number badalna hai,Someone scammed me,report_fraud,angry,0.91,Can you provide transaction ID?
😡  $y  tf  #my  txn$  fail,Someone scammed me,report_fraud,upset,0.75,Can you provide transaction ID?
mera  account  block  ho  gaya  😭,I want to report a fraud,report_fraud,worried,0.78,
😭  ac@ct  bl@ckd?,I think this is fraud,report_fraud,angry,0.76,Please share more details
bal  pls,Someone scammed me,report_fraud,worried,0.79,Can you provide transaction ID?
wnt 2 tlk 2 sm1,I think this is fraud,report_fraud,angry,0.73,Please share more details
🙄  y  u  gu@ys  slow,Money missing from account,report_fraud,angry,0.87,Please share more details
🤔  uh  wot's  IFSC??,I want to report a fraud,report_fraud,angry,0.97,Can you provide transaction ID?
🙄  y  u  guys  slow,Fraud alert on my account,report_fraud,angry,0.91,Can you provide transaction ID?
n@o  clue  wht  hp#pnd  😕,Help me report a scam,report_fraud,upset,0.94,Please share more details
🙄  y  u  guys  slow,Fraud alert on my account,report_fraud,angry,0.8,Please share more details
m$sg  err  agn,My money was stolen,report_fraud,angry,0.72,Can you provide transaction ID?
mera account block ho gaya 😭,I think this is fraud,report_fraud,angry,0.81,
bal  pls,Money missing from account,report_fraud,angry,0.86,Can you provide transaction ID?
🤔  uh  w@ot's  I@FSC??,There was an unauthorized transaction,report_fraud,angry,0.84,Can you provide transaction ID?
mera a^ccount block ho gaya 😭#,Suspicious activity detected,report_fraud,angry,0.8,
bal  pls,There was an unauthorized transaction,report_fraud,upset,0.91,Please share more details
hpy  wid  srvcs  😊,Help me report a scam,report_fraud,upset,0.93,Please share more details
🙄  y  u  guys  slow,My money was stolen,report_fraud,worried,0.72,Please share more details
kisi  se  baat  k@arni  hai,I want to report a fraud,report_fraud,angry,0.84,Please share more details
wnt  2  tlk  2  sm1,There was an unauthorized transaction,report_fraud,upset,0.87,
bal  pls,Help me report a scam,report_fraud,worried,0.95,
🤔 uh wot's IFSC??,Money missing from account,report_fraud,angry,0.82,Can you provide transaction ID?
samajh  nahi  aa$ya,Someone scammed me,report_fraud,upset,0.77,
itna s*l&o%w ky#u ho@,Someone scammed me,report_fraud,angry,0.9,Please share more details
upd8  phn  no.,Suspicious activity detected,report_fraud,upset,0.85,Please share more details
🙄  y  u  guys  slow,I want to report a fraud,report_fraud,angry,0.9,Please share more details
😡  y  tf  my  txn  fail,Money missing from account,report_fraud,worried,0.74,Can you provide transaction ID?
phone number badalna hai,Help me report a scam,report_fraud,upset,0.9,Can you provide transaction ID?
phone  number  badalna  hai,Money missing from account,report_fraud,upset,0.9,Please share more details
hpy  wid  #srvcs  😊,I want to report a fraud,report_fraud,upset,0.91,Please share more details
IFSC kya hota hai#?,Help me report a scam,report_fraud,angry,0.8,Can you provide transaction ID?
mera  account  #block  h$o$  gaya  @😭,I want to report a fraud,report_fraud,angry,0.71,Please share more details
itna slow kyu ho,I want to report a fraud,report_fraud,upset,0.8,
IFSC  kya  hota  hai?,Fraud alert on my account,report_fraud,upset,0.87,Can you provide transaction ID?
phone number badalna hai,I think this is fraud,report_fraud,worried,0.79,Can you provide transaction ID?
i%tna& slow kyu% ho,I want to report a fraud,report_fraud,worried,0.91,Please share more details
hp$y w#id srvcs 😊&,I think this is fraud,report_fraud,upset,0.81,Can you provide transaction ID?
🙄 y @u guys$ slow,Unknown deduction from my account,report_fraud,upset,0.75,Can you provide transaction ID?
itna  slow  kyu  ho,I think this is fraud,report_fraud,upset,0.81,Please share more details
🤔  uh  wot's  IFSC$??,Fraud alert on my account,report_fraud,upset,0.77,Please share more details
phir  error  aa  raha  hai,Fraud alert on my account,report_fraud,upset,0.98,
samajh nahi aaya,Suspicious activity detected,report_fraud,worried,0.81,
bhai  balance  dikha,Help me report a scam,report_fraud,angry,0.76,Can you provide transaction ID?
😭 acct blckd?,Help me report a scam,report_fraud,upset,0.82,Can you provide transaction ID?
wnt  #2#  tlk  2  sm1,Help me report a scam,report_fraud,angry,0.95,Please share more details
😡 y tf m%y txn fail,Someone scammed me,report_fraud,upset,0.87,
😡  $y  tf  #my  txn$  fail,Unknown deduction from my account,report_fraud,upset,0.96,Please share more details
itna slow kyu $ho,There was an unauthorized transaction,report_fraud,angry,0.81,Please share more details
u@pd8  phn  @no$.,Fraud alert on my account,report_fraud,worried,0.92,Can you provide transaction ID?
🙄 y u guys slow,Money missing from account,report_fraud,worried,0.83,
bhai  b$alance  dikh$a,Help me report a scam,report_fraud,angry,0.73,
IFSC kya hota hai?,Fraud alert on my account,report_fraud,upset,0.78,Can you provide transaction ID?
mere p*aise ka$han gay^e 😡,Fraud alert on my account,report_fraud,upset,0.7,Please share more details
🤔 uh wot's IFSC??,I think this is fraud,report_fraud,angry,0.87,Please share more details
bal pls,Suspicious activity detected,report_fraud,upset,0.76,
🙄 y u guys slow,Help me report a scam,report_fraud,angry,0.74,Can you provide transaction ID?
samajh  nahi  aaya,Someone scammed me,report_fraud,angry,0.73,Please share more details
no clue wht hp&pnd 😕,Help me report a scam,report_fraud,worried,0.99,
🙄 y u guys slow,My money was stolen,report_fraud,angry,0.72,Can you provide transaction ID?
😭 acct blckd?,There was an unauthorized transaction,report_fraud,upset,0.78,Please share more details
up@d8@  phn  no$.,There was an unauthorized transaction,report_fraud,worried,0.87,Can you provide transaction ID?
phone  number  badaln@a  hai$,Help me report a scam,report_fraud,upset,0.75,Can you provide transaction ID?
b#hai  @bal@ance#  di#kh#a,Fraud alert on my account,report_fraud,worried,0.75,Please share more details
😡 y tf my txn fail,I think this is fraud,report_fraud,angry,0.77,Can you provide transaction ID?
IFSC kya hota hai?,There was an unauthorized transaction,report_fraud,upset,0.97,Can you provide transaction ID?
phone  number  badalna  hai,Suspicious activity detected,report_fraud,worried,0.77,
😡 y tf my txn fail,My money was stolen,report_fraud,angry,0.9,Can you provide transaction ID?
ms^g err agn,There was an unauthorized transaction,report_fraud,worried,0.96,Please share more details
no clue wht hppnd 😕,Fraud alert on my account,report_fraud,angry,0.97,Can you provide transaction ID?
😭  ac#c$t  b@lckd?,Fraud alert on my account,report_fraud,angry,0.77,
mera  account  block  ho  gaya  😭,Fraud alert on my account,report_fraud,angry,0.95,Please share more details
kisi se baat karni hai,There was an unauthorized transaction,report_fraud,worried,0.86,
kisi  se  baat  karni  hai,Someone scammed me,report_fraud,upset,0.9,Can you provide transaction ID?
service achi lagi 😊,Help me report a scam,report_fraud,upset,0.78,
upd8 phn no.,Unknown deduction from my account,report_fraud,upset,0.83,Please share more details
upd8  p#hn  n@o.,I think this is fraud,report_fraud,upset,0.83,Please share more details
bal  pls,My money was stolen,report_fraud,upset,0.77,
🙄 y ^u guy@s slow,Someone scammed me,report_fraud,angry,0.84,Can you provide transaction ID?
bhai  balance  dikha,Unknown deduction from my account,report_fraud,worried,0.98,
🤔  uh  wot's  IFSC??,There was an unauthorized transaction,report_fraud,upset,0.85,Can you provide transaction ID?
wnt 2 tlk 2 sm1,Unknown deduction from my account,report_fraud,upset,0.9,Can you provide transaction ID?
wnt 2 tlk 2 sm1,Unknown deduction from my account,report_fraud,angry,0.95,
samajh nahi aaya,Suspicious activity detected,report_fraud,angry,0.95,
kisi #se baat karni hai,Suspicious activity detected,report_fraud,upset,0.77,
mere  paise  kahan  gaye  😡,Suspicious activity detected,report_fraud,upset,0.75,Please share more details
😭  acc#t  blckd?,I think this is fraud,report_fraud,angry,0.94,
msg err &agn,Money missing from account,report_fraud,worried,0.94,Can you provide transaction ID?
😭  acct  blckd?,Fraud alert on my account,report_fraud,upset,0.9,Can you provide transaction ID?
mere  paise  kahan  gaye  😡,My money was stolen,report_fraud,upset,0.96,
🙄 y u guys slow,Help me report a scam,report_fraud,upset,0.72,
IFSC  kya  hota  hai?,Help me report a scam,report_fraud,upset,0.8,Can you provide transaction ID?
no clue wht hppnd 😕,Someone scammed me,report_fraud,angry,0.79,Can you provide transaction ID?
itna slow kyu ho%,My money was stolen,report_fraud,upset,0.84,Please share more details
samajh nahi aaya$,Suspicious activity detected,report_fraud,upset,0.81,Please share more details
upd8 phn no.,Suspicious activity detected,report_fraud,angry,0.83,Please share more details
😭  acct  blckd?,Someone scammed me,report_fraud,upset,0.71,Please share more details
bhai balance dikha,I want to report a fraud,report_fraud,worried,0.98,
kisi  se  baat  karni  hai,Money missing from account,report_fraud,angry,0.86,Can you provide transaction ID?
msg  err  agn,Suspicious activity detected,report_fraud,upset,0.7,Can you provide transaction ID?
IFSC ky$a h$o^ta hai%?,I want to report a fraud,report_fraud,upset,0.88,Please share more details
IFSC  kya#  hota  hai?,Money missing from account,report_fraud,worried,0.75,Please share more details
samajh nahi a*ay@a,Suspicious activity detected,report_fraud,upset,0.83,
kisi se baat karni hai,Money missing from account,report_fraud,upset,0.78,Please share more details
b#al  pls,Unknown deduction from my account,report_fraud,worried,0.85,Please share more details
😡 y tf my txn fail,Help me report a scam,report_fraud,upset,0.79,Can you provide transaction ID?
bhai balance dikha,My money was stolen,report_fraud,angry,0.73,Can you provide transaction ID?
samajh  n$ahi  aaya,I want to report a fraud,report_fraud,upset,0.95,
phone  numbe#r@  b#adalna  hai,Fraud alert on my account,report_fraud,worried,0.87,Please share more details
h$py  wid  $s#rvcs  😊,Fraud alert on my account,report_fraud,upset,0.79,Please share more details
mere paise kahan gaye 😡,There was an unauthorized transaction,report_fraud,upset,0.85,Please share more details
bhai balance dik#ha,Help me report a scam,report_fraud,upset,0.89,
msg  err  agn,Someone scammed me,report_fraud,angry,0.76,Please share more details
😭  acct  blckd?,Unknown deduction from my account,report_fraud,angry,0.89,Can you provide transaction ID?
hpy  wid  srvcs  😊,Unknown deduction from my account,report_fraud,worried,0.74,Can you provide transaction ID?
msg err agn@,Suspicious activity detected,report_fraud,upset,0.77,
hpy wid srvcs 😊,My money was stolen,report_fraud,upset,0.98,
bal  pls,Suspicious activity detected,report_fraud,angry,0.93,
IFS@C  kya  $h#ota  hai?,Someone scammed me,report_fraud,upset,0.94,Can you provide transaction ID?
wnt 2 tlk 2 sm1,Help me report a scam,report_fraud,upset,0.73,
itna  slow  kyu  ho,There was an unauthorized transaction,report_fraud,upset,0.86,Can you provide transaction ID?
upd8  phn  no.,I think this is fraud,report_fraud,upset,0.89,Can you provide transaction ID?
service  achi  lagi  😊,Suspicious activity detected,report_fraud,worried,0.93,Please share more details
phone  #nu#m@be@r  ba#dalna  hai,My money was stolen,report_fraud,worried,0.88,Can you provide transaction ID?
s%a&majh nahi aaya,I think this is fraud,report_fraud,angry,0.76,Can you provide transaction ID?
wnt  2  tlk  2  sm1,Help me report a scam,report_fraud,angry,0.91,Can you provide transaction ID?
phir error aa raha ha@i,My money was stolen,report_fraud,upset,0.86,Please share more details
servic%e a^chi lagi 😊,Fraud alert on my account,report_fraud,upset,0.94,Can you provide transaction ID?
msg #err& agn,Someone scammed me,report_fraud,angry,0.99,Can you provide transaction ID?
mere  paise  kahan  gaye  😡,Help me report a scam,report_fraud,upset,0.93,Please share more details
🙄 y u guys slow,Fraud alert on my account,report_fraud,upset,0.89,Can you provide transaction ID?
service ach*i l*agi 😊,Help me report a scam,report_fraud,worried,0.88,
no  clue  wht  hppnd  😕,I think this is fraud,report_fraud,angry,0.9,
bhai  balance  dikha,Fraud alert on my account,report_fraud,angry,0.83,Can you provide transaction ID?
IFS*C kya hota hai?,There was an unauthorized transaction,report_fraud,upset,0.89,Please share more details
wnt 2 tlk 2 sm1,I think this is fraud,report_fraud,angry,0.76,Please share more details
msg@ err* agn*,Unknown deduction from my account,report_fraud,worried,0.93,Can you provide transaction ID?
🤔 uh w$ot's IFSC??,Unknown deduction from my account,report_fraud,upset,0.79,
phone  num$ber  #badalna  hai,I want to report a fraud,report_fraud,angry,0.98,Please share more details
🙄  y  u  guys  slow,There was an unauthorized transaction,report_fraud,angry,0.98,Please share more details
kisi  se  baat  karni  hai,Fraud alert on my account,report_fraud,upset,0.9,
🤔  uh  wot'@s$  IFSC??,Unknown deduction from my account,report_fraud,angry,0.82,
🙄 y u guys slow,I think this is fraud,report_fraud,worried,0.91,Please share more details
samajh  nahi  aaya,There was an unauthorized transaction,report_fraud,upset,0.95,Can you provide transaction ID?
hpy wid srvcs 😊,Help me report a scam,report_fraud,angry,0.71,Can you provide transaction ID?
msg err agn,Someone scammed me,report_fraud,upset,0.74,Can you provide transaction ID?
phir  error  aa  raha  hai,Fraud alert on my account,report_fraud,angry,0.92,Please share more details
upd8  phn  no.,Someone scammed me,report_fraud,worried,0.92,Please share more details
kisi  se  baat  kar@ni  hai@,Help me report a scam,report_fraud,angry,0.72,
🙄 y u guys slow,My money was stolen,report_fraud,angry,0.81,
n@o  clue  w$ht  hppnd  😕#,Suspicious activity detected,report_fraud,worried,0.72,Please share more details
kisi  se  baat  karni  hai,Suspicious activity detected,report_fraud,angry,0.84,
kisi  se  baat  k$arni  hai@,I think this is fraud,report_fraud,angry,0.93,Please share more details
servi#ce achi lagi @😊,My money was stolen,report_fraud,upset,0.93,Please share more details
msg  er#r  ag@n,There was an unauthorized transaction,report_fraud,upset,0.77,
phone number badalna hai,Suspicious activity detected,report_fraud,worried,0.83,Please share more details
bhai balance dikha,Help me report a scam,report_fraud,upset,0.9,
phir error aa raha hai,I think this is fraud,report_fraud,worried,0.96,Please share more details
🤔  uh  wot's  IFSC??,Money missing from account,report_fraud,angry,0.8,
samajh nahi aaya$,There was an unauthorized transaction,report_fraud,upset,0.84,
🤔  uh  wot's  IFSC??,I think this is fraud,report_fraud,worried,0.86,Can you provide transaction ID?
😡  y  tf  my  txn  fail,My money was stolen,report_fraud,angry,0.86,Can you provide transaction ID?
🙄  y  u  guys  slo$w,I think this is fraud,report_fraud,upset,0.75,
